team,id,city,english_name,name_without_numbers
1. FC Union Berlin,2547,Berlin,1. FC Union Berlin,FC Union Berlin
Bayer 04 Leverkusen,2681,Leverkusen,Bayer 04 Leverkusen,Bayer Leverkusen
VfL Wolfsburg,2524,Wolfsburg,VfL Wolfsburg,Wolfsburg
SC Freiburg,2538,Freiburg,SC Freiburg,Freiburg
Borussia Dortmund,2673,Dortmund,Borussia Dortmund,Borussia Dortmund
FC Bayern München,2672,Munich,FC Bayern Munich,Bayern Munich
RB Leipzig,36360,Leipzig,RB Leipzig,RB Leipzig
VfB Stuttgart,2677,Stuttgart,VfB Stuttgart,Stuttgart
Eintracht Frankfurt,2674,Frankfurt,Eintracht Frankfurt,Eintracht Frankfurt
TSG Hoffenheim,2569,Hoffenheim,TSG Hoffenheim,Hoffenheim
FC Augsburg,2600,Augsburg,FC Augsburg,Augsburg
Borussia Mönchengladbach,2527,Mönchengladbach,M'gladbach,Mönchengladbach
VfL Bochum 1848,2542,Bochum,VfL Bochum 1848,Bochum
1. FC Köln,2671,Cologne,1. FC Cologne,FC Cologne
1. FC Heidenheim,5885,Heidenheim,1. FC Heidenheim,1. FC Heidenheim 1846
1. FSV Mainz 05,2556,Mainz,1. FSV Mainz 05,FSV Mainz
SV Darmstadt 98,2576,Darmstadt,SV Darmstadt 98,Darmstadt
SV Werder Bremen,2534,Bremen,SV Werder Bremen,Werder Bremen
FC Schalke 04,2530,Gelsenkirchen,FC Schalke 04,Schalke
Hertha BSC,2528,Berlin,Hertha Berlin,Berlin
FC Ingolstadt 04,5880,Ingolstadt,FC Ingolstadt 04,Ingolstadt
Hamburger SV,2676,Hamburg,Hamburger SV,Hamburg
Hannover 96,2541,Hannover,Hannover 96,Hannover
SC Paderborn 07,2561,Paderborn,SC Paderborn 07,Paderborn
1. FC Nürnberg,2523,Nuremberg,1. FC Nuremberg,FC Nurnberg
Eintracht Braunschweig,2557,Braunschweig,Eintracht Braunschweig,Braunschweig
Fortuna Düsseldorf,2588,Düsseldorf,Fortuna Düsseldorf,Fortuna Dusseldorf
SpVgg Greuther Fürth,2551,Fürth,SpVgg Greuther Fürth,Greuther Furth
1. FC Kaiserslautern,2675,Kaiserslautern,1. FC Kaiserslautern,FC Kaiserslautern
FC St. Pauli,2526,Hamburg,FC St. Pauli,St Pauli
Arminia Bielefeld,2540,Arminia Bielefeld,Arminia Bielefeld,Arminia Bielefeld
