team,id,city,english_name,name_without_numbers
West Ham United,37,London,West Ham United,West Ham United
Tottenham Hotspur,33,London,Tottenham Hotspur,Tottenham Hotspur
Arsenal,42,London,Arsenal,Arsenal
Brighton and Hove Albion,30,Brighton,Brighton and Hove Albion,Brighton and Hove Albion
Manchester City,17,Manchester,Manchester City,Manchester City
Manchester United,35,Manchester,Manchester United,Manchester United
Brentford,50,London,Brentford,Brentford
Liverpool,44,Liverpool,Liverpool,Liverpool
Chelsea,38,London,Chelsea,Chelsea
Crystal Palace,7,London,Crystal Palace,Crystal Palace
Fulham,43,London,Fulham,Fulham
Newcastle United,39,Newcastle,Newcastle United,Newcastle United
Aston Villa,40,Birmingham,Aston Villa,Aston Villa
Nottingham Forest,14,Nottingham,Nottingham Forest,Nottingham Forest
Wolverhampton,3,Wolverhampton,Wolverhampton,Wolverhampton Wanderers
AFC Bournemouth,60,Bournemouth,AFC Bournemouth,Bournemouth
Sheffield United,15,Sheffield,Sheffield United,Sheffield United
Burnley,6,Burnley,Burnley,Burnley
Luton Town,72,Luton,Luton Town,Luton Town
Everton,48,Everton,Everton,Everton
Leicester City,31,Leicester,Leicester City,Leicester City
Leeds United,34,Leeds,Leeds United,Leeds United
Southampton,45,Southampton,Southampton,Southampton
Watford,24,Watford,Watford,Watford
Norwich City,263,Norwich,Norwich City,Norwich City
West Bromwich Albion,8,West Bromwich,West Bromwich Albion,West Bromwich Albion
Cardiff City,61,Cardiff,Cardiff City,Cardiff City
Huddersfield Town,59,Huddersfield,Huddersfield Town,Huddersfield Town
Swansea City,74,Swansea,Swansea City,Swansea City
Stoke City,29,Stoke,Stoke City,Stoke City
Hull City,96,Hull,Hull City,Hull City
Middlesbrough,36,Middlesbrough,Middlesbrough,Middlesbrough
Sunderland,41,Sunderland,Sunderland,Sunderland
Queens Park Rangers,1,London,Queens Park Rangers,Queens Park Rangers
Wigan Athletic,49,Wigan,Wigan Athletic,Wigan Athletic
Reading,28,Reading,Reading,Reading
Bolton Wanderers,5,Bolton,Bolton Wanderers,Bolton Wanderers
Blackburn Rovers,46,Blackburn,Blackburn Rovers,Blackburn Rovers
Birmingham City,9,Birmingham,Birmingham City,Birmingham City
Blackpool,67,Blackpool,Blackpool,Blackpool
