team,id,city,english_name,name_without_numbers
Real Madrid,2829,Madrid,Real Madrid,Real Madrid
Rayo Vallecano,2818,Madrid,Rayo Vallecano,Rayo Vallecano
Valencia,2828,Valencia,Valencia,Valencia
Girona,24264,Girona,Girona,Girona
Atlético Madrid,2836,Madrid,Atlético Madrid,Atletico Madrid
Barcelona,2817,Barcelona,Barcelona,Barcelona
Real Betis,2816,Seville,Real Betis,Real Betis
Cádiz,4488,Cádiz,Cádiz,Cadiz
Deportivo Alavés,2885,Vitoria-Gasteiz,Deportivo Alavés,Deportivo Alaves
Athletic Club,2825,Bilbao,Athletic Club,Athletic Bilbao
Osasuna,2820,Pamplona,Osasuna,Osasuna
Villarreal,2819,Villarreal,Villarreal,Villarreal
Real Sociedad,2824,San Sebastián,Real Sociedad,Real Sociedad
Granada,33779,Granada,Granada,Granada
Las Palmas,6577,Las Palmas de Gran Canaria,Las Palmas,Las Palmas
Mallorca,2826,Palma de Mallorca,Mallorca,Real Mallorca
Celta Vigo,2821,Vigo,Celta Vigo,Celta Vigo
Getafe,2859,Getafe,Getafe,Getafe
Almería,2858,Almería,Almería,Almeria
Sevilla,2833,Seville,Sevilla,Sevilla
Real Valladolid,2831,Valladolid,Real Valladolid,Real Valladolid
Espanyol,2814,Barcelona,Espanyol,Espanyol
Elche,2846,Elche,Elche,Elche
Levante UD,2849,Valencia,Levante UD,Levante
Huesca,24265,Huesca,Huesca,Huesca
Eibar,2839,Eibar,Eibar,Eibar
Leganés,2845,Leganés,Leganés,Leganes
Deportivo La Coruña,2832,A Coruña,Deportivo La Coruña,Deportivo La Coruna
Málaga,2830,Málaga,Málaga,Malaga
Sporting Gijón,2852,Gijón,Sporting Gijón,Sporting Gijon
Córdoba,2850,Córdoba,Córdoba,Cordoba
Real Zaragoza,2815,Zaragoza,Real Zaragoza,Real Zaragoza
Racing de Santander,2835,Santander,Racing de Santander,Racing Santander
Hércules CF,2877,Alicante,Hércules CF,Hercules
