team,id,city,english_name,name_without_numbers
AS Monaco,1653,Monaco,AS Monaco,AS Monaco
Olympique de Marseille,1641,Marseille,Olympique de Marseille,Olympique de Marseille
Stade Brestois,1715,Brest,Stade Brestois,Stade Brestois
Paris Saint-Germain,1644,Paris,Paris Saint-Germain,Paris Saint-Germain
Stade Rennais,1658,Rennes,Stade Rennais,Stade Rennais
Montpellier,1642,Montpellier,Montpellier,Montpellier
Lille,1643,Lille,Lille,Lille
Toulouse,1681,Toulouse,Toulouse,Toulouse
Stade de Reims,1682,Reims,Stade de Reims,Stade de Reims
Strasbourg,1659,Strasbourg,Strasbourg,Strasbourg
Nice,1661,Nice,Nice,Nice
Lorient,1656,Lorient,Lorient,Lorient
Le Havre,1662,Le Havre,Le Havre,Le Havre
Nantes,1647,Nantes,Nantes,Nantes
RC Lens,1648,Lens,Lens,Lens
Metz,1651,Metz,Metz,Metz
Clermont Foot,1680,Clermont-Ferrand,Clermont Foot,Clermont
Olympique Lyonnais,1649,Lyon,Olympique Lyonnais,Olympique Lyonnais
Auxerre,1646,Auxerre,Auxerre,Auxerre
Ajaccio,1660,Ajaccio,Ajaccio,Gazelec Ajaccio
Troyes,1652,Troyes,Troyes,Troyes
Angers,1684,Angers,Angers,Angers
Saint-Étienne,1678,Saint-Étienne,Saint-Étienne,St Etienne
Bordeaux,1645,Bordeaux,Bordeaux,Bordeaux
Nîmes Olympique,1663,Nîmes,Nîmes Olympique,Nimes
Dijon,1686,Dijon,Dijon,Dijon
Amiens SC,1676,Amiens,Amiens SC,Amiens SC
Caen,1667,Caen,Caen,Caen
Guingamp,1654,Guingamp,Guingamp,Guingamp
Nancy,1675,Nancy,Nancy,Nancy
Bastia,1655,Bastia,Bastia,Bastia
GFC Ajaccio,7924,Ajaccio,GFC Ajaccio,AC Ajaccio
Thonon Évian Grand Genève FC,21800,Évian-les-Bains,Thonon Évian Grand Genève FC,Evian Thonon Gaillar
Sochaux,1657,Sochaux,Sochaux,Sochaux
Valenciennes,5061,Valenciennes,Valenciennes,Valenciennes
Arles,7721,Arles,Arles,Arles
